accuracy,researcher,date,familiarity,file,pixels,test,cla,gam,con,den,bil,wav,uns,hig,wie
mcc,taggart,historic,unknown,tag_mtbald_2h,24658746,0.57926343,0.59044349,0.53293794,0.59896221,0.57088907,0.56895061,0.58732294,0.54997657,0.51533838,0.52644681
wm_f1,taggart,historic,unknown,tag_mtbald_2h,24658746,0.72934543,0.73034838,0.69885642,0.73596335,0.71350413,0.72063651,0.74093689,0.70781872,0.67856493,0.67770651
iwm_iou,taggart,historic,unknown,tag_mtbald_2h,24658746,0.65018743,0.65861572,0.60740146,0.65407844,0.63499439,0.64377781,0.66095721,0.62048663,0.58955074,0.58682664
mcc,taggart,historic,unknown,tag_prairie_1h,22559251,0.85956995,0.80551651,0.88225205,0.83637197,0.81262669,0.87573403,0.87208305,0.87286852,0.86000831,0.86063491
wm_f1,taggart,historic,unknown,tag_prairie_1h,22559251,0.91155221,0.89580488,0.92178895,0.89651311,0.89039241,0.91525659,0.91843507,0.91991414,0.9109446,0.91198124
iwm_iou,taggart,historic,unknown,tag_prairie_1h,22559251,0.86877907,0.84630892,0.88424532,0.84644768,0.83670224,0.87816342,0.87561063,0.87612239,0.86933257,0.86878677
mcc,taggart,historic,unknown,tag_allsmoke_h,21939660,0.5491157,0.47286464,0.54453155,0.43640074,0.50323782,0.49548829,0.48547457,0.62451604,0.5953935,0.47346149
wm_f1,taggart,historic,unknown,tag_allsmoke_h,21939660,0.7661213,0.72234731,0.76461232,0.70358550,0.73785189,0.73741417,0.72908568,0.80486691,0.79292342,0.72447808
iwm_iou,taggart,historic,unknown,tag_allsmoke_h,21939660,0.66408982,0.60649648,0.65733951,0.58103689,0.63030107,0.63746677,0.61240760,0.71228792,0.69639591,0.60844952
mcc,taggart,historic,unknown,tag_mtindef_2h,17574417,0.78603635,0.75902558,0.79483405,0.76114692,0.69885557,0.74911041,0.77856282,0.75982302,0.7283808,0.77098027
wm_f1,taggart,historic,unknown,tag_mtindef_2h,17574417,0.87117217,0.86878559,0.87203198,0.86216703,0.82155864,0.84403841,0.86704820,0.85064390,0.84328126,0.86018683
iwm_iou,taggart,historic,unknown,tag_mtindef_2h,17574417,0.82954186,0.82536194,0.83165811,0.81800650,0.75648275,0.7895017,0.82182680,0.79468460,0.78901846,0.81414371
mcc,taggart,historic,unknown,tag_sin_1h,20900691,0.69622143,0.65438454,0.68782158,0.63967932,0.66509629,0.69425112,0.70387781,0.69785808,0.68679661,0.69359801
wm_f1,taggart,historic,unknown,tag_sin_1h,20900691,0.7667201,0.76138922,0.76141196,0.74806061,0.75308318,0.76931476,0.76865158,0.75822788,0.75350837,0.77603693
iwm_iou,taggart,historic,unknown,tag_sin_1h,20900691,0.68141541,0.66368772,0.67771059,0.64293406,0.65577776,0.68623185,0.68828054,0.68260521,0.67837706,0.69407283
